	UniProtID	Description	GO_Terms
MBD3	O95983	Methyl-CpG-binding domain protein 3	GO:0000790;GO:0000792;GO:0001701;GO:0003677;GO:0005515;GO:0005654;GO:0005737;GO:0007420;GO:0007507;GO:0007568;GO:0008327;GO:0009888;GO:0016573;GO:0016581;GO:0031667;GO:0032355;GO:0032991;GO:0043044;GO:0044030;GO:0048568;GO:1901796;GO:0000978;GO:0000980;GO:0031492;GO:0005634;GO:0006346;GO:0000122
TOP3B	O95985	DNA topoisomerase 3-beta-1	GO:0000793;GO:0003677;GO:0003723;GO:0003917;GO:0005515;GO:0007059;GO:0006265;GO:0003916;GO:0005634
TCL1B	O95988	T-cell leukemia/lymphoma protein 1B	GO:0019901;GO:0032991;GO:0033138;GO:0043539;GO:0071902
NUDT3	O95989	Diphosphoinositol polyphosphate phosphohydrolase 1	GO:0000287;GO:0005829;GO:0007267;GO:0008486;GO:0015961;GO:0043647;GO:0052840;GO:0052842;GO:0071544;GO:1901911;GO:0000298;GO:1901907;GO:0005737;GO:0034431;GO:0050072;GO:1901909;GO:0005634;GO:0034432;GO:0071543
FAM107A	O95990	Actin-associated protein FAM107A	GO:0001558;GO:0001725;GO:0003674;GO:0003779;GO:0005515;GO:0005634;GO:0005737;GO:0005925;GO:0007049;GO:0015629;GO:0016607;GO:0030041;GO:0030335;GO:0031398;GO:0031647;GO:0031669;GO:0032587;GO:0032956;GO:0043005;GO:0045202;GO:0050890;GO:0051017;GO:0051895;GO:0070507;GO:0071385;GO:1900272;GO:2000134
CH25H	O95992	Cholesterol 25-hydroxylase	GO:0001567;GO:0005506;GO:0005829;GO:0006629;GO:0006699;GO:0016021;GO:0035754;GO:0055114;GO:0000254;GO:0008395;GO:0008203;GO:0005789;GO:0016126
AGR2	O95994	Anterior gradient protein 2 homolog	GO:0002162;GO:0005154;GO:0005515;GO:0005615;GO:0005783;GO:0010628;GO:0010811;GO:0042803;GO:0045742;GO:0048546;GO:0048639;GO:0060480;GO:0060548;GO:0070254;GO:1903078;GO:1903896;GO:1903899;GO:0034976
GAS8	O95995	Dynein regulatory complex subunit 4	GO:0003351;GO:0003674;GO:0005515;GO:0005576;GO:0005874;GO:0005929;GO:0005930;GO:0007368;GO:0007420;GO:0008017;GO:0008285;GO:0030317;GO:0031514;GO:0035082;GO:0036064;GO:0036126;GO:0045880;GO:0060294;GO:1903566;GO:1904526;GO:0034613;GO:0017137;GO:0005794
APC2	O95996	Adenomatous polyposis coli protein 2	GO:0000226;GO:0005515;GO:0005737;GO:0005794;GO:0005829;GO:0005884;GO:0008013;GO:0008017;GO:0015630;GO:0016055;GO:0016342;GO:0030496;GO:0031258;GO:0045171;GO:0048471;GO:0090090;GO:0090630;GO:0098794;GO:0005881;GO:0031941;GO:0001708;GO:0007026;GO:0045295;GO:0030877;GO:0045595;GO:0007389;GO:0016477;GO:0045732
PTTG1	O95997	Securin	GO:0000981;GO:0003700;GO:0004869;GO:0005515;GO:0005634;GO:0005737;GO:0005829;GO:0006281;GO:0006357;GO:0006366;GO:0006511;GO:0007283;GO:0010951;GO:0017124;GO:0031145;GO:0051276;GO:0051301;GO:0045143;GO:2000816
IL18BP	O95998	Interleukin-18-binding protein	GO:0005576;GO:0035655;GO:0042007;GO:0042088;GO:0048019;GO:0070062;GO:0071345;GO:2000272;GO:0005615
BCL10	O95999	B-cell lymphoma/leukemia 10	GO:0001772;GO:0001783;GO:0001843;GO:0002020;GO:0002223;GO:0002224;GO:0002237;GO:0002250;GO:0002906;GO:0003713;GO:0005515;GO:0005634;GO:0005737;GO:0005764;GO:0005829;GO:0005881;GO:0006968;GO:0008022;GO:0008134;GO:0008219;GO:0009620;GO:0016064;GO:0016567;GO:0019899;GO:0019900;GO:0019901;GO:0031398;GO:0031625;GO:0031663;GO:0032094;GO:0032449;GO:0032765;GO:0032991;GO:0033674;GO:0038095;GO:0042109;GO:0042226;GO:0042327;GO:0042802;GO:0043065;GO:0043123;GO:0043280;GO:0043422;GO:0043621;GO:0045087;GO:0045121;GO:0045416;GO:0045893;GO:0048471;GO:0050700;GO:0050852;GO:0050856;GO:0050870;GO:0051059;GO:0051092;GO:0051259;GO:0051260;GO:0051291;GO:0070231;GO:0071260;GO:2001238;GO:0019209;GO:0007249
NDUFB10	O96000	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10	GO:0005515;GO:0005743;GO:0005747;GO:0006120;GO:0008137;GO:0032981
PPP1R17	O96001	Protein phosphatase 1 regulatory subunit 17	GO:0004865;GO:0005654;GO:0007417;GO:0010921;GO:0032515;GO:0035556
CXorf1	O96002	Putative transmembrane protein CXorf1	GO:0003674;GO:0005575;GO:0008150;GO:0016021
HAND1	O96004	Heart- and neural crest derivatives-expressed protein 1	GO:0000122;GO:0000978;GO:0000981;GO:0001227;GO:0001525;GO:0001707;GO:0001824;GO:0001829;GO:0001947;GO:0003144;GO:0003218;GO:0003219;GO:0003713;GO:0005515;GO:0005634;GO:0005654;GO:0005730;GO:0005737;GO:0006366;GO:0007507;GO:0008134;GO:0019899;GO:0035050;GO:0042475;GO:0042802;GO:0042803;GO:0043425;GO:0043433;GO:0045892;GO:0045944;GO:0046982;GO:0055010;GO:0060411;GO:0060485;GO:0060536;GO:0060707;GO:0090575;GO:1903026;GO:0044212
CLPTM1	O96005	Cleft lip and palate transmembrane protein 1	GO:0005515;GO:0005887;GO:0007275;GO:0009897;GO:0016020;GO:0030154;GO:0033081
ZBED1	O96006	Zinc finger BED domain-containing protein 1	GO:0000978;GO:0000981;GO:0001228;GO:0005515;GO:0005654;GO:0016925;GO:0019789;GO:0042802;GO:0043565;GO:0045944;GO:0046872;GO:0046983
MOCS2	O96007	Molybdopterin synthase catalytic subunit	GO:0005634;GO:0005829;GO:0006777;GO:0016607;GO:0019008;GO:0030366;GO:0032324
NAPSA	O96009	Napsin-A	GO:0004175;GO:0004190;GO:0005615;GO:0005764;GO:0006508;GO:0008233;GO:0033619;GO:0043129;GO:0044267;GO:0070062;GO:0097208;GO:0097486;GO:0030163
PEX11B	O96011	Peroxisomal membrane protein 11B	GO:0005515;GO:0005739;GO:0005777;GO:0005778;GO:0005779;GO:0007031;GO:0007165;GO:0016020;GO:0016559;GO:0032991;GO:0042803;GO:0044375;GO:0051260
PAK4	O96013	Serine/threonine-protein kinase PAK 4	GO:0001558;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0005794;GO:0005913;GO:0005925;GO:0006915;GO:0007010;GO:0007049;GO:0007165;GO:0008283;GO:0016477;GO:0045766;GO:0060996;GO:0071407;GO:0098609;GO:0098641;GO:2000352;GO:0043408;GO:0023014;GO:0031098;GO:0032147;GO:0005737;GO:0048365
WNT11	O96014	Protein Wnt-11	GO:0001649;GO:0001837;GO:0003151;GO:0003402;GO:0005096;GO:0005109;GO:0005515;GO:0005576;GO:0005737;GO:0006468;GO:0007223;GO:0010628;GO:0016055;GO:0030182;GO:0030282;GO:0030295;GO:0030308;GO:0030325;GO:0030335;GO:0030336;GO:0031012;GO:0031667;GO:0032147;GO:0032915;GO:0034394;GO:0043065;GO:0043066;GO:0043547;GO:0044212;GO:0045199;GO:0045892;GO:0045893;GO:0048341;GO:0048570;GO:0048706;GO:0048844;GO:0051496;GO:0060028;GO:0060070;GO:0060071;GO:0060197;GO:0060412;GO:0060484;GO:0060548;GO:0060675;GO:0060775;GO:0061037;GO:0061053;GO:0061101;GO:0062009;GO:0070830;GO:0071260;GO:0071300;GO:0072177;GO:0072201;GO:0090037;GO:0090090;GO:0090272;GO:0005615;GO:0045165
DNAL4	O96015	Dynein light chain 4, axonemal	GO:0003777;GO:0005515;GO:0005737;GO:0005874;GO:0005886;GO:0005929;GO:0007018;GO:0045505;GO:0008574;GO:0030286;GO:0051959;GO:2000582
CHEK2	O96017	Serine/threonine-protein kinase Chk2	GO:0000077;GO:0000086;GO:0001302;GO:0001934;GO:0004674;GO:0005515;GO:0005524;GO:0005654;GO:0005794;GO:0006302;GO:0006355;GO:0006468;GO:0006974;GO:0006975;GO:0006977;GO:0006978;GO:0008630;GO:0016301;GO:0016605;GO:0018105;GO:0019901;GO:0031625;GO:0042176;GO:0042770;GO:0042771;GO:0042802;GO:0042803;GO:0044257;GO:0045893;GO:0046777;GO:0046872;GO:0050821;GO:0051301;GO:0071157;GO:0071480;GO:0072428;GO:0090307;GO:0090399;GO:1901796;GO:1903416;GO:1903926;GO:2000002;GO:2000210;GO:0000781;GO:0005634;GO:0044773;GO:0005737
APBA3	O96018	Amyloid-beta A4 precursor protein-binding family A member 3	GO:0001701;GO:0004857;GO:0005515;GO:0010468;GO:0015031;GO:0019899;GO:0043086;GO:0048471;GO:0005886;GO:0045202;GO:0005737;GO:0043197;GO:0001540;GO:0007268
ACTL6A	O96019	Actin-like protein 6A	GO:0000790;GO:0001825;GO:0003407;GO:0003713;GO:0005515;GO:0005634;GO:0005654;GO:0005886;GO:0006281;GO:0006310;GO:0006338;GO:0006357;GO:0007165;GO:0016514;GO:0016579;GO:0021510;GO:0031011;GO:0032991;GO:0035267;GO:0040008;GO:0043044;GO:0043967;GO:0043968;GO:0071564;GO:1903508;GO:0000978;GO:0000980;GO:0031492;GO:0007399;GO:0003682
CCNE2	O96020	G1/S-specific cyclin-E2	GO:0000082;GO:0000723;GO:0005515;GO:0005654;GO:0005829;GO:0006270;GO:0006468;GO:0007129;GO:0051301;GO:0097135;GO:1903827;GO:0044772;GO:0005813;GO:0097134;GO:0000307;GO:0000079;GO:0005737;GO:0019901;GO:0016538;GO:0004672;GO:0005634
B3GALT4	O96024	Beta-1,3-galactosyltransferase 4	GO:0000139;GO:0001574;GO:0006486;GO:0008499;GO:0016021;GO:0047915;GO:0005783;GO:0008376;GO:0005794
NSD2	O96028	Histone-lysine N-methyltransferase NSD2	GO:0000122;GO:0000981;GO:0003149;GO:0003289;GO:0003290;GO:0003682;GO:0005515;GO:0005634;GO:0005654;GO:0005737;GO:0006303;GO:0010452;GO:0034770;GO:0042799;GO:0043565;GO:0046872;GO:0048298;GO:0060348;GO:0070201;GO:2001032;GO:0006355;GO:0046975;GO:0000785
HMHB1	O97980	Minor histocompatibility protein HB-1	GO:0002250;GO:0003674;GO:0005575;GO:0010468;GO:0042268;GO:0071356;GO:1902715
MT-CYB	P00156	Cytochrome b	GO:0001666;GO:0005739;GO:0005743;GO:0005750;GO:0006122;GO:0008121;GO:0009408;GO:0015990;GO:0031100;GO:0031305;GO:0033590;GO:0033762;GO:0042538;GO:0044877;GO:0045471;GO:0046686;GO:0046688;GO:0046689;GO:0046872;GO:0051592;GO:0055093;GO:0045153;GO:0020037
CYB5A	P00167	Cytochrome b5	GO:0004129;GO:0005741;GO:0005789;GO:0005829;GO:0016020;GO:0016021;GO:0019852;GO:0019899;GO:0020037;GO:0022900;GO:0043231;GO:0046686;GO:0046872;GO:1902600
ADH1B	P00325	Alcohol dehydrogenase 1B	GO:0004024;GO:0005654;GO:0005829;GO:0005886;GO:0006069;GO:0008270;GO:0042573;GO:0004745;GO:0042572
ADH1C	P00326	Alcohol dehydrogenase 1C	GO:0004022;GO:0005654;GO:0005829;GO:0005886;GO:0006069;GO:0004745;GO:0042572;GO:0008270;GO:0004024;GO:0042573
LDHA	P00338	L-lactate dehydrogenase A chain	GO:0001666;GO:0004459;GO:0005515;GO:0005634;GO:0005829;GO:0006089;GO:0006090;GO:0006096;GO:0007584;GO:0009749;GO:0016020;GO:0019674;GO:0019900;GO:0042542;GO:0042802;GO:0043065;GO:0043627;GO:0045296;GO:0048569;GO:0051287;GO:0051591;GO:0055114;GO:0070062
ALDH1A1	P00352	Retinal dehydrogenase 1	GO:0001523;GO:0001758;GO:0004029;GO:0005096;GO:0005497;GO:0005737;GO:0005829;GO:0006069;GO:0006081;GO:0042572;GO:0043547;GO:0051287;GO:0055114;GO:0061624;GO:0070062;GO:0120163;GO:0018479
GLUD1	P00367	Glutamate dehydrogenase 1, mitochondrial	GO:0004352;GO:0004353;GO:0005515;GO:0005524;GO:0005525;GO:0005737;GO:0005739;GO:0005759;GO:0006537;GO:0006538;GO:0006541;GO:0008652;GO:0021762;GO:0032024;GO:0042802;GO:0043531;GO:0055114;GO:0070403;GO:0070728;GO:0072350
DHFR	P00374	Dihydrofolate reductase	GO:0000083;GO:0000900;GO:0003729;GO:0004146;GO:0005542;GO:0005739;GO:0005829;GO:0006729;GO:0006730;GO:0008144;GO:0017148;GO:0031103;GO:0031427;GO:0046452;GO:0046653;GO:0046654;GO:0046655;GO:0051000;GO:0051870;GO:0055114;GO:0070402;GO:1990825;GO:2000121;GO:0050661
CYB5R3	P00387	NADH-cytochrome b5 reductase 3	GO:0004128;GO:0005515;GO:0005576;GO:0005737;GO:0005739;GO:0005741;GO:0005783;GO:0005789;GO:0005811;GO:0005833;GO:0006695;GO:0006805;GO:0008015;GO:0016020;GO:0016208;GO:0019852;GO:0035578;GO:0043312;GO:0043531;GO:0051287;GO:0055114;GO:0071949
GSR	P00390	Glutathione reductase, mitochondrial	GO:0005759;GO:0005829;GO:0009055;GO:0009897;GO:0015949;GO:0022900;GO:0034599;GO:0050661;GO:0070062;GO:0098869;GO:0045454;GO:0006749;GO:0004362;GO:0005739;GO:0050660
MT-CO1	P00395	Cytochrome c oxidase subunit 1	GO:0005515;GO:0005743;GO:0005750;GO:0005751;GO:0006123;GO:0006979;GO:0007568;GO:0016021;GO:0020037;GO:0021549;GO:0045277;GO:0046688;GO:0046872;GO:0051602;GO:0004129;GO:0015990;GO:0009060
MT-CO2	P00403	Cytochrome c oxidase subunit 2	GO:0004129;GO:0005507;GO:0005515;GO:0005739;GO:0005743;GO:0006123;GO:0007595;GO:0009409;GO:0010729;GO:0010940;GO:0016020;GO:0016021;GO:0045277;GO:1902600;GO:2001171;GO:0042773
MT-CO3	P00414	Cytochrome c oxidase subunit 3	GO:0005515;GO:0005743;GO:0006123;GO:0008535;GO:0016021;GO:0045277;GO:1902600;GO:0004129;GO:0009055;GO:0015453;GO:0009060;GO:0005739
PAH	P00439	Phenylalanine-4-hydroxylase	GO:0004505;GO:0005506;GO:0005829;GO:0006559;GO:0008652;GO:0042136;GO:0042423;GO:0055114;GO:0006571
SOD1	P00441	Superoxide dismutase [Cu-Zn]	GO:0000187;GO:0000303;GO:0001541;GO:0001819;GO:0001890;GO:0001895;GO:0001975;GO:0002262;GO:0002576;GO:0004784;GO:0005507;GO:0005515;GO:0005576;GO:0005615;GO:0005634;GO:0005654;GO:0005737;GO:0005739;GO:0005758;GO:0005759;GO:0005764;GO:0005777;GO:0005829;GO:0006749;GO:0006801;GO:0006879;GO:0007283;GO:0007566;GO:0007569;GO:0007605;GO:0007626;GO:0008089;GO:0008090;GO:0008217;GO:0008270;GO:0009408;GO:0010033;GO:0019226;GO:0019430;GO:0030346;GO:0031045;GO:0031410;GO:0032287;GO:0032839;GO:0032930;GO:0032991;GO:0033081;GO:0034465;GO:0034599;GO:0035722;GO:0035865;GO:0040014;GO:0042493;GO:0042542;GO:0042554;GO:0042802;GO:0042803;GO:0043025;GO:0043065;GO:0043085;GO:0043087;GO:0043524;GO:0045471;GO:0045541;GO:0045859;GO:0046620;GO:0046688;GO:0046716;GO:0048365;GO:0048538;GO:0048678;GO:0050665;GO:0050728;GO:0050766;GO:0051087;GO:0051881;GO:0055114;GO:0060047;GO:0060052;GO:0060087;GO:0060088;GO:0070062;GO:0071276;GO:0071318;GO:0072593;GO:0097332;GO:1902177;GO:1904115;GO:0005886
CP	P00450	Ceruloplasmin	GO:0004322;GO:0005507;GO:0005576;GO:0005615;GO:0005765;GO:0005788;GO:0006825;GO:0006879;GO:0043687;GO:0044267;GO:0051087;GO:0055114;GO:0070062;GO:0072562;GO:0055072;GO:0016491;GO:0006826;GO:0005886
F8	P00451	Coagulation factor VIII	GO:0000139;GO:0002576;GO:0005507;GO:0005515;GO:0005576;GO:0005788;GO:0005886;GO:0006888;GO:0006953;GO:0007596;GO:0007597;GO:0016491;GO:0030134;GO:0030168;GO:0031093;GO:0033116;GO:0048208;GO:0055114;GO:0005615
OTC	P00480	Ornithine carbamoyltransferase, mitochondrial	GO:0000050;GO:0001889;GO:0004585;GO:0005543;GO:0005739;GO:0005743;GO:0005759;GO:0006593;GO:0007494;GO:0010043;GO:0016597;GO:0019240;GO:0032868;GO:0042301;GO:0055081;GO:0070207;GO:0070781;GO:0097272;GO:0042450
F13A1	P00488	Coagulation factor XIII A chain	GO:0002576;GO:0003810;GO:0005576;GO:0007596;GO:0018149;GO:0019221;GO:0031093;GO:0046872;GO:0062023;GO:0072378;GO:0072562
PNP	P00491	Purine nucleoside phosphorylase	GO:0001882;GO:0002060;GO:0004731;GO:0005576;GO:0005634;GO:0005737;GO:0005829;GO:0005856;GO:0006139;GO:0006148;GO:0006195;GO:0006738;GO:0006955;GO:0008144;GO:0009165;GO:0034418;GO:0034774;GO:0042102;GO:0042301;GO:0042493;GO:0043101;GO:0043312;GO:0046638;GO:0070062;GO:0070970;GO:1904813
HPRT1	P00492	Hypoxanthine-guanine phosphoribosyltransferase	GO:0000166;GO:0000287;GO:0001913;GO:0001975;GO:0004422;GO:0005515;GO:0005737;GO:0005829;GO:0006164;GO:0006166;GO:0006178;GO:0007625;GO:0007626;GO:0021756;GO:0021895;GO:0021954;GO:0032264;GO:0042417;GO:0042802;GO:0042803;GO:0043101;GO:0043103;GO:0045964;GO:0046038;GO:0046040;GO:0046100;GO:0046651;GO:0048813;GO:0051289;GO:0052657;GO:0070062;GO:0032263;GO:0006168
GOT2	P00505	Aspartate aminotransferase, mitochondrial	GO:0003723;GO:0004069;GO:0005543;GO:0005739;GO:0005743;GO:0005759;GO:0005886;GO:0006094;GO:0006103;GO:0006107;GO:0006531;GO:0006532;GO:0006533;GO:0006536;GO:0007565;GO:0007595;GO:0008652;GO:0009986;GO:0014850;GO:0015908;GO:0016212;GO:0016597;GO:0019470;GO:0019550;GO:0019551;GO:0019899;GO:0030170;GO:0030315;GO:0032868;GO:0032991;GO:0042803;GO:0043204;GO:0043278;GO:0045471;GO:0046487;GO:0070062;GO:0097052
ABL1	P00519	Tyrosine-protein kinase ABL1	GO:0000278;GO:0000287;GO:0000400;GO:0000405;GO:0001784;GO:0001843;GO:0001922;GO:0001934;GO:0002322;GO:0002333;GO:0003677;GO:0003713;GO:0003785;GO:0004515;GO:0004672;GO:0004713;GO:0004715;GO:0005080;GO:0005515;GO:0005524;GO:0005634;GO:0005654;GO:0005730;GO:0005737;GO:0005739;GO:0005829;GO:0006298;GO:0006355;GO:0006464;GO:0006468;GO:0006897;GO:0006914;GO:0006974;GO:0006975;GO:0006979;GO:0007050;GO:0007173;GO:0007204;GO:0007229;GO:0008022;GO:0008630;GO:0009791;GO:0010506;GO:0010595;GO:0015629;GO:0016301;GO:0016604;GO:0017124;GO:0018108;GO:0019905;GO:0021587;GO:0022408;GO:0030035;GO:0030036;GO:0030100;GO:0030145;GO:0030155;GO:0030425;GO:0030514;GO:0030516;GO:0031113;GO:0031252;GO:0031965;GO:0032489;GO:0032956;GO:0032991;GO:0033690;GO:0034446;GO:0034599;GO:0035791;GO:0038083;GO:0038096;GO:0038189;GO:0038191;GO:0042169;GO:0042770;GO:0043025;GO:0043065;GO:0043123;GO:0043124;GO:0043542;GO:0045184;GO:0045580;GO:0045930;GO:0045931;GO:0045944;GO:0046632;GO:0046777;GO:0046875;GO:0048471;GO:0048536;GO:0048538;GO:0048668;GO:0050731;GO:0050798;GO:0050852;GO:0050853;GO:0050885;GO:0051015;GO:0051019;GO:0051149;GO:0051281;GO:0051353;GO:0051444;GO:0051496;GO:0051882;GO:0051894;GO:0060020;GO:0060563;GO:0070064;GO:0070301;GO:0070373;GO:0070374;GO:0071103;GO:0071222;GO:0071901;GO:0072358;GO:0090050;GO:0090135;GO:0098794;GO:1900026;GO:1900042;GO:1900272;GO:1900275;GO:1901216;GO:1902036;GO:1902715;GO:1903053;GO:1903351;GO:1904528;GO:1904531;GO:1905244;GO:1905555;GO:1990051;GO:1990837;GO:2000096;GO:2000145;GO:2000249;GO:2000251;GO:2000352;GO:2000773;GO:2001020;GO:0097100;GO:0042127;GO:0030154
EGFR	P00533	Epidermal growth factor receptor	GO:0000139;GO:0000165;GO:0000186;GO:0001503;GO:0001618;GO:0001892;GO:0001934;GO:0001942;GO:0003682;GO:0003690;GO:0004709;GO:0004713;GO:0004714;GO:0004888;GO:0005006;GO:0005178;GO:0005515;GO:0005516;GO:0005524;GO:0005615;GO:0005634;GO:0005737;GO:0005768;GO:0005789;GO:0005886;GO:0005925;GO:0006357;GO:0006412;GO:0006970;GO:0007165;GO:0007166;GO:0007173;GO:0007202;GO:0007435;GO:0007494;GO:0007611;GO:0007623;GO:0008283;GO:0008284;GO:0009986;GO:0010008;GO:0010750;GO:0010960;GO:0014066;GO:0016020;GO:0016101;GO:0016323;GO:0016324;GO:0018108;GO:0019899;GO:0019901;GO:0019903;GO:0021795;GO:0030139;GO:0030307;GO:0030324;GO:0030335;GO:0030665;GO:0031625;GO:0031901;GO:0031965;GO:0032930;GO:0032991;GO:0033138;GO:0033590;GO:0033594;GO:0034614;GO:0038083;GO:0038128;GO:0042059;GO:0042060;GO:0042177;GO:0042327;GO:0042698;GO:0042743;GO:0042802;GO:0043006;GO:0043066;GO:0043235;GO:0043406;GO:0043586;GO:0045121;GO:0045202;GO:0045296;GO:0045737;GO:0045739;GO:0045740;GO:0045746;GO:0045780;GO:0045893;GO:0045907;GO:0045930;GO:0045944;GO:0046328;GO:0046718;GO:0046777;GO:0046982;GO:0048143;GO:0048146;GO:0048471;GO:0048546;GO:0048661;GO:0048812;GO:0050679;GO:0050729;GO:0050730;GO:0050999;GO:0051015;GO:0051205;GO:0051592;GO:0051897;GO:0051968;GO:0060571;GO:0061024;GO:0061029;GO:0070141;GO:0070372;GO:0070374;GO:0070435;GO:0071230;GO:0071260;GO:0071276;GO:0071364;GO:0071392;GO:0071549;GO:0090263;GO:0097421;GO:0097489;GO:0097755;GO:0098609;GO:1900020;GO:1900087;GO:1901185;GO:1901224;GO:1902722;GO:1903078;GO:1903800;GO:1905208;GO:2000145;GO:0030235;GO:0048408;GO:0030154;GO:0009925;GO:0007169;GO:0005887
MOS	P00540	Proto-oncogene serine/threonine-protein kinase mos	GO:0000165;GO:0000186;GO:0000187;GO:0000212;GO:0004674;GO:0004709;GO:0005515;GO:0005524;GO:0005829;GO:0006325;GO:0046777;GO:0051296;GO:1902103;GO:0005737;GO:0043410
PGK1	P00558	Phosphoglycerate kinase 1	GO:0004618;GO:0005515;GO:0005524;GO:0005615;GO:0005829;GO:0006094;GO:0006096;GO:0016020;GO:0016310;GO:0016525;GO:0030855;GO:0031639;GO:0045121;GO:0047134;GO:0061621;GO:0070062;GO:0071456;GO:1903862;GO:0043531
AK1	P00568	Adenylate kinase isoenzyme 1	GO:0004017;GO:0004550;GO:0005524;GO:0005829;GO:0006165;GO:0006172;GO:0009142;GO:0015949;GO:0046033;GO:0046034;GO:0046940;GO:0070062
LALBA	P00709	Alpha-lactalbumin	GO:0000139;GO:0004461;GO:0005509;GO:0005615;GO:0005796;GO:0005989;GO:0006915;GO:0007165;GO:0007267;GO:0042742;GO:0050830;GO:0050829
F2	P00734	Prothrombin	GO:0001530;GO:0001934;GO:0004252;GO:0005102;GO:0005509;GO:0005515;GO:0005576;GO:0005615;GO:0005788;GO:0005796;GO:0005886;GO:0006508;GO:0006888;GO:0006953;GO:0007166;GO:0007186;GO:0007275;GO:0007596;GO:0007597;GO:0008047;GO:0008083;GO:0008201;GO:0008284;GO:0008360;GO:0009611;GO:0010468;GO:0010544;GO:0014068;GO:0030168;GO:0030193;GO:0030194;GO:0030307;GO:0030449;GO:0032967;GO:0042730;GO:0044267;GO:0045861;GO:0046427;GO:0048712;GO:0050900;GO:0051281;GO:0051480;GO:0051838;GO:0051918;GO:0061844;GO:0070053;GO:0070062;GO:0070945;GO:0072562;GO:0090218;GO:1900016;GO:1900182;GO:1900738;GO:2000379;GO:0009897;GO:0062023
C1R	P00736	Complement C1r subcomponent	GO:0004252;GO:0005509;GO:0005515;GO:0005576;GO:0005615;GO:0006955;GO:0006956;GO:0006958;GO:0008236;GO:0030449;GO:0031638;GO:0045087;GO:0070062;GO:0072562
HP	P00738	Haptoglobin	GO:0005515;GO:0005576;GO:0005615;GO:0006508;GO:0006898;GO:0006952;GO:0006953;GO:0010942;GO:0016209;GO:0030492;GO:0031838;GO:0035580;GO:0042542;GO:0042742;GO:0043312;GO:0051354;GO:0070062;GO:0071682;GO:0072562;GO:0098869;GO:1904724;GO:2000296;GO:0002526;GO:0004252;GO:0010033
HPR	P00739	Haptoglobin-related protein	GO:0005576;GO:0006508;GO:0006898;GO:0030492;GO:0034366;GO:0070062;GO:0072562;GO:0010033;GO:0010942;GO:0005615;GO:0004252;GO:0002526
F9	P00740	Coagulation factor IX	GO:0004175;GO:0004252;GO:0005509;GO:0005515;GO:0005576;GO:0005615;GO:0005788;GO:0005796;GO:0005886;GO:0006508;GO:0006888;GO:0007596;GO:0007597;GO:0031638;GO:0062023;GO:0070062
F10	P00742	Coagulation factor X	GO:0004252;GO:0005509;GO:0005515;GO:0005543;GO:0005576;GO:0005788;GO:0005796;GO:0005886;GO:0006508;GO:0006888;GO:0007596;GO:0007598;GO:0030335;GO:0031233;GO:0051897;GO:0005615
CFD	P00746	Complement factor D	GO:0002576;GO:0004252;GO:0005576;GO:0006508;GO:0006956;GO:0006957;GO:0007219;GO:0008236;GO:0031093;GO:0034774;GO:0043312;GO:0070062;GO:1904813
PLG	P00747	Plasminogen	GO:0002576;GO:0004175;GO:0004252;GO:0005102;GO:0005515;GO:0005576;GO:0005615;GO:0005886;GO:0006508;GO:0007596;GO:0008236;GO:0008285;GO:0009986;GO:0010812;GO:0019899;GO:0019900;GO:0019904;GO:0022617;GO:0031093;GO:0031232;GO:0034185;GO:0042730;GO:0044218;GO:0044267;GO:0048771;GO:0051087;GO:0051702;GO:0051918;GO:0051919;GO:0052213;GO:0062023;GO:0070062;GO:0072562;GO:1904854;GO:1990405;GO:2000048
F12	P00748	Coagulation factor XII	GO:0002353;GO:0002542;GO:0004252;GO:0005509;GO:0005515;GO:0005576;GO:0005615;GO:0005886;GO:0007597;GO:0010756;GO:0016485;GO:0016540;GO:0030194;GO:0031638;GO:0042730;GO:0045087;GO:0051787;GO:0051788;GO:0051919;GO:0062023;GO:0070062;GO:0006508;GO:0005791
PLAU	P00749	Urokinase-type plasminogen activator	GO:0001666;GO:0004252;GO:0005515;GO:0005576;GO:0005615;GO:0005886;GO:0005925;GO:0006935;GO:0007165;GO:0007596;GO:0009986;GO:0010469;GO:0014909;GO:0014910;GO:0030335;GO:0031639;GO:0033628;GO:0035579;GO:0042127;GO:0042730;GO:0043312;GO:0061041;GO:0070062;GO:0070821;GO:2000097;GO:0006508
PLAT	P00750	Tissue-type plasminogen activator	GO:0001666;GO:0004252;GO:0005102;GO:0005515;GO:0005576;GO:0005737;GO:0006464;GO:0007596;GO:0009986;GO:0030141;GO:0031639;GO:0042730;GO:0045177;GO:0045861;GO:0051219;GO:0070062;GO:0098685;GO:0098978;GO:0099183;GO:0062023;GO:0006508;GO:0014909;GO:0005615;GO:0048008
CFB	P00751	Complement factor B	GO:0001848;GO:0004252;GO:0005515;GO:0005576;GO:0005615;GO:0005886;GO:0006508;GO:0006956;GO:0006957;GO:0030449;GO:0070062;GO:0072562
