	Description	UniProtID
Cacnb3	calcium channel, voltage-dependent, beta 3 subunit,Voltage-dependent L-type calcium channel subunit beta-3	MGI:103307
Cacnb4	calcium channel, voltage-dependent, beta 4 subunit,Voltage-dependent L-type calcium channel subunit beta-4	MGI:103301
Cacng1	calcium channel, voltage-dependent, gamma subunit 1	MGI:1206582
Cacng2	calcium channel, voltage-dependent, gamma subunit 2	MGI:1316660
Cacng3	calcium channel, voltage-dependent, gamma subunit 3	MGI:1859165
Cacng4	calcium channel, voltage-dependent, gamma subunit 4	MGI:1859167
Cacng5	calcium channel, voltage-dependent, gamma subunit 5	MGI:2157946
Cacng6	calcium channel, voltage-dependent, gamma subunit 6	MGI:1859168
Cacng7	calcium channel, voltage-dependent, gamma subunit 7	MGI:1932374
Cacng8	calcium channel, voltage-dependent, gamma subunit 8	MGI:1932376
Cactin	cactin, spliceosome C complex subunit	MGI:1917562
Cacul1	CDK2 associated, cullin domain 1	MGI:1926082
Cacybp	calcyclin binding protein	MGI:1270839
Cad	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	MGI:1916969
Cadm1	cell adhesion molecule 1	MGI:1889272
Cadm2	cell adhesion molecule 2	MGI:2442722
Cadm3	cell adhesion molecule 3	MGI:2137858
Cadm4	cell adhesion molecule 4	MGI:2449088
Cadps	Ca2+-dependent secretion activator	MGI:1350922
Cadps2	Ca2+-dependent activator protein for secretion 2	MGI:2443963
Caf	caffeine susceptibility	MGI:88243
Cage1	cancer antigen 1	MGI:1918463
Cal	caracul-like	MGI:1929554
Cal2	caracul-like 2	MGI:2182139
Cal3	caracul-like 3	MGI:3043214
Cal5	caracul like 5	MGI:3045702
Cal6	caracul-like 6	MGI:3047106
Cal7	caracul-like 7	MGI:3521994
Calb1	calbindin 1	MGI:88248
Calb2	calbindin 2	MGI:101914
Calca	calcitonin/calcitonin-related polypeptide, alpha	MGI:2151253
Calcb	calcitonin-related polypeptide, beta	MGI:2151254
Calcoco1	calcium binding and coiled coil domain 1	MGI:1914738
Calcoco2	calcium binding and coiled-coil domain 2	MGI:1343177
Calcr	calcitonin receptor	MGI:101950
Calcrl	calcitonin receptor-like	MGI:1926944
Cald1	caldesmon 1	MGI:88250
Calhm1	calcium homeostasis modulator 1	MGI:3643383
Calhm2	calcium homeostasis modulator family member 2	MGI:1919941
Calhm3	calcium homeostasis modulator 3	MGI:3645665
Calhm4	calcium homeostasis modulator family member 4	MGI:2685489
Calhm5	calcium homeostasis modulator family member 5	MGI:2143897
Calhm6	calcium homeostasis modulator family member 6	MGI:2443082
Calm1	calmodulin 1,Calmodulin-1	MGI:88251
Calm2	calmodulin 2	MGI:103250
Calm3	calmodulin 3	MGI:103249
Calm4	calmodulin 4	MGI:1931464
Calm5	calmodulin 5	MGI:3511177
Calml3	calmodulin-like 3	MGI:1917655
Calml4	calmodulin-like 4	MGI:1922850
Caln1	calneuron 1	MGI:2155987
Calr	calreticulin,Calreticulin	MGI:88252
Calr3	calreticulin 3	MGI:1920566
Calr4	calreticulin 4	MGI:2140435
calre	caracul-like recessive	MGI:3584005
Calu	calumenin,Calumenin	MGI:1097158
Caly	calcyon neuron-specific vesicular protein	MGI:1915816
Camk1	calcium/calmodulin-dependent protein kinase I	MGI:1098535
Camk1d	calcium/calmodulin-dependent protein kinase ID	MGI:2442190
Camk1g	calcium/calmodulin-dependent protein kinase I gamma	MGI:2388073
Camk2a	calcium/calmodulin-dependent protein kinase II alpha	MGI:88256
Camk2b	calcium/calmodulin-dependent protein kinase II, beta	MGI:88257
Camk2d	calcium/calmodulin-dependent protein kinase II, delta	MGI:1341265
Camk2g	calcium/calmodulin-dependent protein kinase II gamma	MGI:88259
Camk2n1	calcium/calmodulin-dependent protein kinase II inhibitor 1	MGI:1913509
Camk2n2	calcium/calmodulin-dependent protein kinase II inhibitor 2	MGI:1920297
Camk4	calcium/calmodulin-dependent protein kinase IV,Calcium/calmodulin-dependent protein kinase type IV	MGI:88258
Camkk1	calcium/calmodulin-dependent protein kinase kinase 1, alpha,Calcium/calmodulin-dependent protein kinase kinase 1	MGI:1891766
Camkk2	calcium/calmodulin-dependent protein kinase kinase 2, beta	MGI:2444812
Camkmt	calmodulin-lysine N-methyltransferase	MGI:1920832
Camkv	CaM kinase-like vesicle-associated	MGI:2384296
Caml	calcium modulating ligand	MGI:104728
Camp	cathelicidin antimicrobial peptide	MGI:108443
Camsap1	calmodulin regulated spectrin-associated protein 1	MGI:3036242
Camsap2	calmodulin regulated spectrin-associated protein family, member 2	MGI:1922434
Camsap3	calmodulin regulated spectrin-associated protein family, member 3	MGI:1916947
Camta1	calmodulin binding transcription activator 1	MGI:2140230
Camta2	calmodulin binding transcription activator 2	MGI:2135957
Cand1	cullin associated and neddylation disassociated 1	MGI:1261820
Cand2	cullin-associated and neddylation-dissociated 2 (putative)	MGI:1914338
Cant1	calcium activated nucleotidase 1	MGI:1923275
Canx	calnexin,Calnexin	MGI:88261
Cap1	CAP, adenylate cyclase-associated protein 1 (yeast),Adenylyl cyclase-associated protein 1	MGI:88262
Cap2	CAP, adenylate cyclase-associated protein, 2 (yeast)	MGI:1914502
Capg	capping protein (actin filament), gelsolin-like	MGI:1098259
Capn1	calpain 1,Calpain-1 catalytic subunit	MGI:88263
Capn10	calpain 10	MGI:1344392
Capn11	calpain 11	MGI:1352490
Capn12	calpain 12	MGI:1891369
Capn13	calpain 13	MGI:2685789
Capn15	calpain 15	MGI:1355075
Capn2	calpain 2,Calpain-2 catalytic subunit	MGI:88264
Capn3	calpain 3	MGI:107437
Capn5	calpain 5	MGI:1100859
Capn6	calpain 6	MGI:1100850
Capn7	calpain 7	MGI:1338030
Capn8	calpain 8	MGI:2181366
Capn9	calpain 9	MGI:1920897
Capns1	calpain, small subunit 1,Calpain small subunit 1	MGI:88266
Capns2	calpain, small subunit 2,Calpain small subunit 2	MGI:1916793
Caprin1	cell cycle associated protein 1	MGI:1858234
Caprin2	caprin family member 2	MGI:2448541
Caps2	calcyphosphine 2	MGI:2441980
Capsl	calcyphosine-like	MGI:1922818
Capza1	capping protein (actin filament) muscle Z-line, alpha 1,F-actin-capping protein subunit alpha-1	MGI:106227
Capza2	capping protein (actin filament) muscle Z-line, alpha 2,F-actin-capping protein subunit alpha-2	MGI:106222
Capza3	capping protein (actin filament) muscle Z-line, alpha 3	MGI:106221
Capzb	capping protein (actin filament) muscle Z-line, beta,F-actin-capping protein subunit beta	MGI:104652
Car1	carbonic anhydrase 1	MGI:88268
Car10	carbonic anhydrase 10	MGI:1919855
Car11	carbonic anhydrase 11	MGI:1336193
Car12	carbonic anhydrase 12	MGI:1923709
Car13	carbonic anhydrase 13	MGI:1931322
Car14	carbonic anhydrase 14	MGI:1344341
Car15	carbonic anhydrase 15	MGI:1931324
Car2	carbonic anhydrase 2	MGI:88269
Car3	carbonic anhydrase 3	MGI:88270
Car4	carbonic anhydrase 4	MGI:1096574
Car5a	carbonic anhydrase 5a, mitochondrial	MGI:101946
Car5b	carbonic anhydrase 5b, mitochondrial	MGI:1926249
Car6	carbonic anhydrase 6	MGI:1333786
Car7	carbonic anhydrase 7	MGI:103100
Car8	carbonic anhydrase 8	MGI:88253
Car9	carbonic anhydrase 9	MGI:2447188
Card10	caspase recruitment domain family, member 10	MGI:2146012
Card11	caspase recruitment domain family, member 11,Caspase recruitment domain-containing protein 11	MGI:1916978
Card14	caspase recruitment domain family, member 14	MGI:2386258
Card19	caspase recruitment domain family, member 19	MGI:1915730
Card6	caspase recruitment domain family, member 6	MGI:3032959
Card9	caspase recruitment domain family, member 9,Caspase recruitment domain-containing protein 9	MGI:2685628
Carf	calcium response factor	MGI:2182269
Carhsp1	calcium regulated heat stable protein 1	MGI:1196368
Carlr	cardiac and apoptosis-related long non-coding RNA	MGI:1914024
Carm1	coactivator-associated arginine methyltransferase 1	MGI:1913208
Carmil1	capping protein regulator and myosin 1 linker 1	MGI:1915982
Carmil2	capping protein regulator and myosin 1 linker 2	MGI:2685431
Carmil3	capping protein regulator and myosin 1 linker 3	MGI:2448573
Carmn	cardiac mesoderm enhancer-associated non-coding RNA	MGI:4439832
Carnmt1	carnosine N-methyltransferase 1	MGI:1914633
Carns1	carnosine synthase 1	MGI:2147595
Cars	cysteinyl-tRNA synthetase	MGI:1351477
Cars2	cysteinyl-tRNA synthetase 2 (mitochondrial)(putative)	MGI:1919191
Cartpt	CART prepropeptide	MGI:1351330
Casc1	cancer susceptibility candidate 1	MGI:2444480
Casc3	cancer susceptibility candidate 3	MGI:2179723
Casd1	CAS1 domain containing 1	MGI:2384865
Cask	calcium/calmodulin-dependent serine protein kinase (MAGUK family),Peripheral plasma membrane protein CASK	MGI:1309489
Caskin1	CASK interacting protein 1	MGI:2442952
Caskin2	CASK-interacting protein 2	MGI:2157062
Casp1	caspase 1,Caspase-1	MGI:96544
Casp12	caspase 12	MGI:1312922
Casp14	caspase 14	MGI:1335092
Casp16	caspase 16, apoptosis-related cysteine peptidase	MGI:3646305
Casp2	caspase 2	MGI:97295
Casp3	caspase 3,Caspase-3	MGI:107739
Casp4	caspase 4, apoptosis-related cysteine peptidase	MGI:107700
Casp6	caspase 6	MGI:1312921
Casp7	caspase 7	MGI:109383
Casp8	caspase 8	MGI:1261423
Casp8ap2	caspase 8 associated protein 2	MGI:1349399
Casp9	caspase 9,Caspase-9	MGI:1277950
Casq1	calsequestrin 1	MGI:1309468
Casq2	calsequestrin 2	MGI:1309469
Casr	calcium-sensing receptor	MGI:1351351
Cass4	Cas scaffolding protein family member 4	MGI:2444482
Cast	calpastatin	MGI:1098236
Castor1	cytosolic arginine sensor for mTORC1 subunit 1	MGI:1919212
Castor2	cytosolic arginine sensor for mTORC1 subunit 2	MGI:1933384
Casz1	castor zinc finger 1	MGI:1196251
Cat	catalase,Catalase	MGI:88271
Cat4	dominant cataract 4	MGI:88040
Cat5	dominant cataract 5	MGI:98786
Cat6	dominant cataract 6	MGI:1928990
Catip	ciliogenesis associated TTC17 interacting protein	MGI:2685062
Catsper1	cation channel, sperm associated 1	MGI:2179947
Catsper1au	Catsper1 antisense upstream transcript	MGI:5792253
Catsper2	cation channel, sperm associated 2	MGI:2387404
Catsper3	cation channel, sperm associated 3	MGI:1924106
Catsper4	cation channel, sperm associated 4	MGI:3043288
Catsperb	cation channel sperm associated auxiliary subunit beta	MGI:2443988
Catsperd	cation channel sperm associated auxiliary subunit delta	MGI:2147030
Catspere1	cation channel sperm associated auxiliary subunit epsilon 1	MGI:3647531
Catspere2	cation channel sperm associated auxiliary subunit epsilon 2	MGI:5589632
Catsperg1	cation channel sperm associated auxiliary subunit gamma 1	MGI:2443617
Catsperg2	cation channel sperm associated auxiliary subunit gamma 2	MGI:1923968
Catsperz	cation channel sperm associated auxiliary subunit zeta	MGI:1914327
Cav1	caveolin 1, caveolae protein	MGI:102709
Cav2	caveolin 2	MGI:107571
Cav3	caveolin 3,Caveolin-3	MGI:107570
Cavin1	caveolae associated 1	MGI:1277968
Cavin2	caveolae associated 2	MGI:99513
Cavin3	caveolae associated 3	MGI:1923422
Cavin4	caveolae associated 4	MGI:1915266
cb	cerebral degeneration	MGI:88277
Cbarp	calcium channel, voltage-dependent, beta subunit associated regulatory protein	MGI:1354170
Cbfa2t2	CBFA2/RUNX1 translocation partner 2	MGI:1333833
Cbfa2t3	CBFA2/RUNX1 translocation partner 3	MGI:1338013
Cbfb	core binding factor beta,Core-binding factor subunit beta	MGI:99851
Cbl	Casitas B-lineage lymphoma	MGI:88279
Cblb	Casitas B-lineage lymphoma b	MGI:2146430
Cblc	Casitas B-lineage lymphoma c	MGI:1931457
Cblif	cobalamin binding intrinsic factor	MGI:1202394
Cbll1	Casitas B-lineage lymphoma-like 1	MGI:2144842
Cbln1	cerebellin 1 precursor protein	MGI:88281
Cbln2	cerebellin 2 precursor protein	MGI:88282
Cbln3	cerebellin 3 precursor protein	MGI:1889286
Cbln4	cerebellin 4 precursor protein	MGI:2154433
Cbr1	carbonyl reductase 1	MGI:88284
Cbr2	carbonyl reductase 2	MGI:107200
Cbr3	carbonyl reductase 3	MGI:1309992
Cbr4	carbonyl reductase 4	MGI:2384567
Cbs	cystathionine beta-synthase	MGI:88285
Cbwd1	COBW domain containing 1	MGI:2385089
Cbx1	chromobox 1	MGI:105369
Cbx2	chromobox 2	MGI:88289
Cbx3	chromobox 3,Chromobox protein homolog 3	MGI:108515
Cbx4	chromobox 4,E3 SUMO-protein ligase CBX4	MGI:1195985
Cbx5	chromobox 5,Chromobox protein homolog 5	MGI:109372
Cbx6	chromobox 6	MGI:3512628
Cbx7	chromobox 7	MGI:1196439
Cbx8	chromobox 8	MGI:1353589
Cby1	chibby family member 1, beta catenin antagonist	MGI:1920989
Cby2	chibby family member 2	MGI:1915176
Cby3	chibby family member 3	MGI:1923903
Cc2d1a	coiled-coil and C2 domain containing 1A	MGI:2384831
Cc2d1b	coiled-coil and C2 domain containing 1B	MGI:2443076
Cc2d2a	coiled-coil and C2 domain containing 2A	MGI:1924487
Cc2d2b	coiled-coil and C2 domain containing 2B	MGI:3645359
Ccar1	cell division cycle and apoptosis regulator 1	MGI:1914750
Ccar2	cell cycle activator and apoptosis regulator 2	MGI:2444228
Ccbe1	collagen and calcium binding EGF domains 1	MGI:2445053
Ccdc102a	coiled-coil domain containing 102A	MGI:2686927
Ccdc103	coiled-coil domain containing 103	MGI:1920543
Ccdc105	coiled-coil domain containing 105	MGI:1918226
Ccdc106	coiled-coil domain containing 106	MGI:2385900
Ccdc107	coiled-coil domain containing 107	MGI:1913423
Ccdc110	coiled-coil domain containing 110	MGI:2685018
Ccdc112	coiled-coil domain containing 112	MGI:1918800
Ccdc113	coiled-coil domain containing 113	MGI:3606076
Ccdc115	coiled-coil domain containing 115	MGI:1916918
Ccdc116	coiled-coil domain containing 116	MGI:1924122
Ccdc117	coiled-coil domain containing 117	MGI:2144383
Ccdc12	coiled-coil domain containing 12	MGI:1919904
Ccdc120	coiled-coil domain containing 120	MGI:1859619
Ccdc121	coiled-coil domain containing 121	MGI:2685601
Ccdc122	coiled-coil domain containing 122	MGI:1918358
Ccdc124	coiled-coil domain containing 124	MGI:1916403
Ccdc125	coiled-coil domain containing 125	MGI:1923291
Ccdc126	coiled-coil domain containing 126	MGI:1889376
Ccdc127	coiled-coil domain containing 127	MGI:1914683
Ccdc13	coiled-coil domain containing 13	MGI:1920144
Ccdc130	coiled-coil domain containing 130	MGI:1914986
Ccdc134	coiled-coil domain containing 134	MGI:1923707
Ccdc136	coiled-coil domain containing 136	MGI:1918128
Ccdc137	coiled-coil domain containing 137	MGI:1914541
Ccdc138	coiled-coil domain containing 138	MGI:1923388
Ccdc14	coiled-coil domain containing 14	MGI:2443448
Ccdc141	coiled-coil domain containing 141	MGI:1919735
Ccdc142	coiled-coil domain containing 142	MGI:3045292
Ccdc142os	coiled-coil domain containing 142, opposite strand	MGI:3783052
Ccdc144b	coiled-coil domain containing 144B	MGI:2681852
Ccdc146	coiled-coil domain containing 146	MGI:1922422
Ccdc148	coiled-coil domain containing 148	MGI:3039583
Ccdc149	coiled-coil domain containing 149	MGI:2685293
Ccdc15	coiled-coil domain containing 15	MGI:2444488
Ccdc150	coiled-coil domain containing 150	MGI:1925266
Ccdc152	coiled-coil domain containing 152	MGI:3641617
Ccdc153	coiled-coil domain containing 153	MGI:2448587
Ccdc154	coiled-coil domain containing 154	MGI:2685163
Ccdc157	coiled-coil domain containing 157	MGI:3041210
Ccdc158	coiled-coil domain containing 158	MGI:2444555
Ccdc159	coiled-coil domain containing 159	MGI:1914369
Ccdc160	coiled-coil domain containing 160	MGI:3588225
Ccdc162	coiled-coil domain containing 162	MGI:1923223
Ccdc163	coiled-coil domain containing 163	MGI:1915644
Ccdc166	coiled-coil domain containing 166	MGI:1925902
Ccdc167	coiled-coil domain containing 167	MGI:1915847
Ccdc169	coiled-coil domain containing 169	MGI:2444356
Ccdc17	coiled-coil domain containing 17	MGI:1915667
Ccdc170	coiled-coil domain containing 170	MGI:2685067
Ccdc171	coiled-coil domain containing 171	MGI:1922152
Ccdc172	coiled-coil domain containing 172	MGI:1922895
Ccdc173	coiled-coil domain containing 173	MGI:1923100
Ccdc174	coiled-coil domain containing 174	MGI:2444652
Ccdc175	coiled-coil domain containing 175	MGI:1921186
Ccdc177	coiled-coil domain containing 177	MGI:2686414
Ccdc178	coiled coil domain containing 178	MGI:1918200
Ccdc18	coiled-coil domain containing 18	MGI:1922974
Ccdc180	coiled-coil domain containing 180	MGI:2685871
Ccdc181	coiled-coil domain containing 181	MGI:1922145
Ccdc182	coiled-coil domain containing 182	MGI:1921547
Ccdc183	coiled-coil domain containing 183	MGI:1924308
Ccdc184	coiled-coil domain containing 184	MGI:2146066
Ccdc185	coiled-coil domain containing 185	MGI:3618292
Ccdc186	coiled-coil domain containing 186	MGI:2445022
Ccdc187	coiled-coil domain containing 187	MGI:3045295
Ccdc188	coiled-coil domain containing 188	MGI:3647803
Ccdc189	coiled-coil domain containing 189	MGI:2685012
Ccdc190	coiled-coil domain containing 190	MGI:1925715
Ccdc191	coiled-coil domain containing 191	MGI:1922661
Ccdc192	coiled-coil domain containing 192	MGI:1922694
Ccdc194	coiled-coil domain containing 194	MGI:3588239
ccdc198	coiled-coil domain containing 198	MGI:1914332
Ccdc201	coiled coil domain 201	MGI:3650614
Ccdc22	coiled-coil domain containing 22	MGI:1859608
Ccdc24	coiled-coil domain containing 24	MGI:2685874
Ccdc25	coiled-coil domain containing 25	MGI:1914429
Ccdc27	coiled-coil domain containing 27	MGI:2685881
Ccdc28a	coiled-coil domain containing 28A	MGI:2443508
Ccdc28b	coiled coil domain containing 28B	MGI:1913514
Ccdc3	coiled-coil domain containing 3	MGI:1921436
Ccdc30	coiled-coil domain containing 30	MGI:1920582
Ccdc32	coiled-coil domain containing 32	MGI:2685477
Ccdc33	coiled-coil domain containing 33	MGI:1922464
Ccdc34	coiled-coil domain containing 34	MGI:1915451
Ccdc34os	coiled-coil domain containing 34, opposite strand	MGI:1922767
Ccdc38	coiled-coil domain containing 38	MGI:2444738
Ccdc39	coiled-coil domain containing 39	MGI:1289263
Ccdc40	coiled-coil domain containing 40	MGI:2443893
Ccdc42	coiled-coil domain containing 42	MGI:3045254
Ccdc42os	coiled-coil domain containing 42, opposite strand	MGI:1922401
Ccdc43	coiled-coil domain containing 43	MGI:1289318
Ccdc47	coiled-coil domain containing 47	MGI:1914413
Ccdc50	coiled-coil domain containing 50	MGI:1914751
Ccdc51	coiled-coil domain containing 51	MGI:1913908
Ccdc54	coiled-coil domain containing 54	MGI:1916589
Ccdc57	coiled-coil domain containing 57	MGI:1918526
Ccdc58	coiled-coil domain containing 58	MGI:2146423
Ccdc59	coiled-coil domain containing 59	MGI:1289302
Ccdc6	coiled-coil domain containing 6	MGI:1923801
Ccdc60	coiled-coil domain containing 60	MGI:2141043
Ccdc61	coiled-coil domain containing 61	MGI:2685005
Ccdc62	coiled-coil domain containing 62	MGI:2684996
Ccdc63	coiled-coil domain containing 63	MGI:3607777
Ccdc65	coiled-coil domain containing 65	MGI:2146001
Ccdc66	coiled-coil domain containing 66	MGI:2443639
Ccdc68	coiled-coil domain containing 68	MGI:3612676
Ccdc69	coiled-coil domain containing 69	MGI:1196234
Ccdc70	coiled-coil domain containing 70	MGI:1915179
Ccdc71	coiled-coil domain containing 71	MGI:1919704
Ccdc71l	coiled-coil domain containing 71 like	MGI:1919373
Ccdc73	coiled-coil domain containing 73	MGI:3606488
Ccdc74a	coiled-coil domain containing 74A	MGI:1919565
Ccdc77	coiled-coil domain containing 77	MGI:1914450
Ccdc78	coiled-coil domain containing 78	MGI:2685784
Ccdc7a	coiled-coil domain containing 7A	MGI:1921953
Ccdc7b	coiled-coil domain containing 7B	MGI:1922703
Ccdc8	coiled-coil domain containing 8	MGI:3612184
Ccdc80	coiled-coil domain containing 80	MGI:1915146
Ccdc81	coiled-coil domain containing 81	MGI:1918134
Ccdc82	coiled-coil domain containing 82	MGI:1913646
Ccdc83	coiled-coil domain containing 83	MGI:1918255
Ccdc84	coiled-coil domain containing 84	MGI:2685960
Ccdc85a	coiled-coil domain containing 85A	MGI:2445069
Ccdc85b	coiled-coil domain containing 85B	MGI:2147607
Ccdc85c	coiled-coil domain containing 85C	MGI:3644008
Ccdc86	coiled-coil domain containing 86	MGI:1277220
Ccdc87	coiled-coil domain containing 87	MGI:3026882
Ccdc88a	coiled coil domain containing 88A	MGI:1925177
Ccdc88b	coiled-coil domain containing 88B	MGI:1925567
Ccdc88c	coiled-coil domain containing 88C,Protein Daple	MGI:1915589
Ccdc89	coiled-coil domain containing 89	MGI:1917304
Ccdc9	coiled-coil domain containing 9	MGI:1921443
Ccdc90b	coiled-coil domain containing 90B	MGI:1913615
Ccdc91	coiled-coil domain containing 91	MGI:1914265
Ccdc92	coiled-coil domain containing 92	MGI:106485
Ccdc92b	coiled-coil domain containing 92B	MGI:3588240
Ccdc93	coiled-coil domain containing 93	MGI:1918079
Ccdc96	coiled-coil domain containing 96	MGI:1913967
Ccdc97	coiled-coil domain containing 97	MGI:1196455
Ccdc9b	coiled-coil domain containing 9B	MGI:2685199
Ccer1	coiled-coil glutamate-rich protein 1	MGI:1913966
Ccer2	coiled-coil glutamate-rich protein 2	MGI:3645242
Cchcr1	coiled-coil alpha-helical rod protein 1	MGI:2385321
Ccin	calicin	MGI:3045316
Cck	cholecystokinin	MGI:88297
Cckar	cholecystokinin A receptor	MGI:99478
Cckbr	cholecystokinin B receptor	MGI:99479
Ccl1	chemokine (C-C motif) ligand 1	MGI:98258
Ccl11	chemokine (C-C motif) ligand 11	MGI:103576
Ccl12	chemokine (C-C motif) ligand 12	MGI:108224
Ccl17	chemokine (C-C motif) ligand 17	MGI:1329039
Ccl19	chemokine (C-C motif) ligand 19	MGI:1346316
Ccl2	chemokine (C-C motif) ligand 2	MGI:98259
Ccl20	chemokine (C-C motif) ligand 20	MGI:1329031
Ccl21a	chemokine (C-C motif) ligand 21A (serine)	MGI:1349183
Ccl21b	chemokine (C-C motif) ligand 21B (leucine)	MGI:1349182
Ccl21c	chemokine (C-C motif) ligand 21C (leucine)	MGI:1891386
Ccl22	chemokine (C-C motif) ligand 22	MGI:1306779
Ccl24	chemokine (C-C motif) ligand 24	MGI:1928953
Ccl25	chemokine (C-C motif) ligand 25	MGI:1099448
Ccl26	chemokine (C-C motif) ligand 26	MGI:3589281
Ccl27a	chemokine (C-C motif) ligand 27A	MGI:1343459
Ccl27b	chemokine (C-C motif) ligand 27b	MGI:1891389
Ccl28	chemokine (C-C motif) ligand 28	MGI:1861731
Ccl3	chemokine (C-C motif) ligand 3	MGI:98260
Ccl4	chemokine (C-C motif) ligand 4	MGI:98261
Ccl5	chemokine (C-C motif) ligand 5	MGI:98262
Ccl6	chemokine (C-C motif) ligand 6	MGI:98263
Ccl7	chemokine (C-C motif) ligand 7	MGI:99512
Ccl8	chemokine (C-C motif) ligand 8	MGI:101878
Ccl9	chemokine (C-C motif) ligand 9	MGI:104533
Ccm2	cerebral cavernous malformation 2	MGI:2384924
Ccm2l	cerebral cavernous malformation 2-like	MGI:2385159
Ccn1	cellular communication network factor 1	MGI:88613
Ccn2	cellular communication network factor 2	MGI:95537
Ccn3	cellular communication network factor 3	MGI:109185
Ccn4	cellular communication network factor 4	MGI:1197008
Ccn5	cellular communication network factor 5	MGI:1328326
Ccn6	cellular communication network factor 6	MGI:2685581
Ccna1	cyclin A1	MGI:108042
Ccna2	cyclin A2,Cyclin-A2	MGI:108069
Ccnb1	cyclin B1	MGI:88302
Ccnb1ip1	cyclin B1 interacting protein 1	MGI:2685134
Ccnb2	cyclin B2	MGI:88311
Ccnb3	cyclin B3	MGI:2183443
Ccnc	cyclin C,Cyclin-C	MGI:1858199
Ccnd1	cyclin D1,G1/S-specific cyclin-D1	MGI:88313
Ccnd2	cyclin D2	MGI:88314
Ccnd3	cyclin D3	MGI:88315
Ccndbp1	cyclin D-type binding-protein 1	MGI:109595
Ccne1	cyclin E1	MGI:88316
Ccne2	cyclin E2	MGI:1329034
Ccnf	cyclin F	MGI:102551
Ccng1	cyclin G1	MGI:102890
Ccng2	cyclin G2,Cyclin-G2	MGI:1095734
Ccnh	cyclin H	MGI:1913921
Ccni	cyclin I	MGI:1341077
Ccnj	cyclin J	MGI:2443297
Ccnjl	cyclin J-like	MGI:2685723
Ccnk	cyclin K	MGI:1276106
Ccnl1	cyclin L1	MGI:1922664
Ccnl2	cyclin L2	MGI:1927119
Ccno	cyclin O	MGI:2145534
Ccnq	cyclin Q	MGI:1916359
Ccnt1	cyclin T1	MGI:1328363
Ccnt2	cyclin T2	MGI:1920199
Ccny	cyclin Y	MGI:1915224
Ccnyl1	cyclin Y-like 1	MGI:2138614
Ccp110	centriolar coiled coil protein 110	MGI:2141942
Ccpg1	cell cycle progression 1	MGI:1196419
Ccpg1os	cell cycle progression 1, opposite strand	MGI:3648770
Ccr1	chemokine (C-C motif) receptor 1	MGI:104618
Ccr10	chemokine (C-C motif) receptor 10	MGI:1096320
Ccr1l1	chemokine (C-C motif) receptor 1-like 1	MGI:104617
Ccr2	chemokine (C-C motif) receptor 2	MGI:106185
Ccr3	chemokine (C-C motif) receptor 3	MGI:104616
Ccr4	chemokine (C-C motif) receptor 4	MGI:107824
Ccr5	chemokine (C-C motif) receptor 5	MGI:107182
Ccr6	chemokine (C-C motif) receptor 6	MGI:1333797
Ccr7	chemokine (C-C motif) receptor 7	MGI:103011
Ccr8	chemokine (C-C motif) receptor 8	MGI:1201402
Ccr9	chemokine (C-C motif) receptor 9	MGI:1341902
Ccrl2	chemokine (C-C motif) receptor-like 2	MGI:1920904
Ccs	copper chaperone for superoxide dismutase,Copper chaperone for superoxide dismutase	MGI:1333783
Ccsap	centriole, cilia and spindle associated protein	MGI:1920670
Ccser1	coiled-coil serine rich 1	MGI:3045354
Ccser2	coiled-coil serine rich 2	MGI:101859
Cct2	chaperonin containing Tcp1, subunit 2 (beta)	MGI:107186
Cct3	chaperonin containing Tcp1, subunit 3 (gamma)	MGI:104708
Cct4	chaperonin containing Tcp1, subunit 4 (delta)	MGI:104689
Cct5	chaperonin containing Tcp1, subunit 5 (epsilon)	MGI:107185
Cct6a	chaperonin containing Tcp1, subunit 6a (zeta)	MGI:107943
Cct6b	chaperonin containing Tcp1, subunit 6b (zeta)	MGI:1329013
Cct7	chaperonin containing Tcp1, subunit 7 (eta)	MGI:107184
Cct8	chaperonin containing Tcp1, subunit 8 (theta)	MGI:107183
Cct8l1	chaperonin containing TCP1, subunit 8 (theta)-like 1	MGI:2685289
Ccw	cataract and curly whiskers	MGI:107542
Ccz1	CCZ1 vacuolar protein trafficking and biogenesis associated	MGI:2141070
Cd101	CD101 antigen	MGI:2685862
Cd109	CD109 antigen	MGI:2445221
Cd14	CD14 antigen	MGI:88318
Cd151	CD151 antigen	MGI:1096360
Cd160	CD160 antigen	MGI:1860383
Cd163	CD163 antigen	MGI:2135946
Cd164	CD164 antigen	MGI:1859568
Cd164l2	CD164 sialomucin-like 2	MGI:1916905
Cd177	CD177 antigen	MGI:1916141
Cd180	CD180 antigen	MGI:1194924
Cd19	CD19 antigen,B-lymphocyte antigen CD19	MGI:88319
Cd1d1	CD1d1 antigen	MGI:107674
Cd1d2	CD1d2 antigen	MGI:107675
Cd2	CD2 antigen	MGI:88320
Cd200	CD200 antigen	MGI:1196990
Cd200r1	CD200 receptor 1	MGI:1889024
Cd200r2	Cd200 receptor 2	MGI:3042847
Cd200r3	CD200 receptor 3	MGI:1921853
Cd200r4	CD200 receptor 4	MGI:3036289
Cd207	CD207 antigen	MGI:2180021
Cd209a	CD209a antigen	MGI:2157942
Cd209b	CD209b antigen	MGI:1916415
Cd209c	CD209c antigen	MGI:2157945
